,solved,time,date,puzzle_id
97,True,306,2023/04/08,21061
98,True,111,2023/04/09,21062
99,True,47,2023/04/10,21066
100,True,263,2023/04/11,21063
101,True,269,2023/04/12,21074
102,True,137,2023/04/13,21076
103,True,61,2023/04/14,21077
104,True,223,2023/04/15,21070
105,True,83,2023/04/16,21073
106,True,97,2023/04/17,21088
107,True,93,2023/04/18,21087
108,True,190,2023/04/19,21091
109,True,176,2023/04/20,21094
110,True,428,2023/04/21,21095
111,True,503,2023/04/22,21097
112,True,93,2023/04/23,21096
113,True,410,2023/04/24,21098
114,True,161,2023/04/25,21101
115,True,230,2023/04/26,21102
116,True,199,2023/04/27,21106
117,True,247,2023/04/28,21100
118,True,236,2023/04/29,21099
119,True,242,2023/04/30,21107
120,True,354,2023/05/01,21092
121,True,52,2023/05/02,21093
122,True,153,2023/05/03,21109
123,True,312,2023/05/04,21110
124,True,477,2023/05/05,21113
125,True,216,2023/05/06,21112
126,True,150,2023/05/07,21116
127,True,166,2023/05/08,21124
128,True,102,2023/05/09,21123
129,True,281,2023/05/10,21125
130,True,165,2023/05/11,21111
131,True,123,2023/05/12,21132
132,True,203,2023/05/13,21133
133,True,84,2023/05/14,21130
134,True,50,2023/05/15,21134
135,True,51,2023/05/16,21139
136,True,152,2023/05/17,21143
137,True,33,2023/05/18,21149
138,True,159,2023/05/19,21146
139,True,230,2023/05/20,21145
140,True,255,2023/05/21,21144
141,True,176,2023/05/22,21154
142,True,142,2023/05/23,21155
143,True,133,2023/05/24,21162
144,True,209,2023/05/25,21163
145,True,359,2023/05/26,21164
146,True,368,2023/05/27,21157
147,True,265,2023/05/28,21166
148,True,154,2023/05/29,21176
149,True,902,2023/05/30,21177
150,True,132,2023/05/31,21178
151,True,156,2023/06/01,21179
152,True,154,2023/06/02,21180
153,True,1063,2023/06/03,21181
154,True,643,2023/06/04,21182
155,True,164,2023/06/05,21191
156,True,34,2023/06/06,21195
157,True,145,2023/06/07,21198
158,True,238,2023/06/08,21197
159,True,221,2023/06/09,21199
160,True,495,2023/06/10,21196
161,True,99,2023/06/11,21200
162,True,405,2023/06/12,21216
163,True,124,2023/06/13,21215
164,True,175,2023/06/14,21214
165,True,241,2023/06/15,21217
166,True,352,2023/06/16,21219
167,True,335,2023/06/17,21218
168,True,242,2023/06/18,21221
169,True,153,2023/06/19,21230
170,True,128,2023/06/20,21231
171,True,187,2023/06/21,21232
172,True,210,2023/06/22,21233
173,True,119,2023/06/23,21235
174,True,617,2023/06/24,21236
175,True,135,2023/06/25,21234
176,True,89,2023/06/26,21251
177,True,146,2023/06/27,21252
178,True,337,2023/06/28,21253
179,True,150,2023/06/29,21254
180,True,156,2023/06/30,21256
181,True,402,2023/07/01,21245
182,True,276,2023/07/02,21255
183,True,82,2023/07/03,21263
184,True,310,2023/07/04,21261
185,True,65,2023/07/05,21262
186,True,193,2023/07/06,21260
187,True,595,2023/07/07,21265
188,True,371,2023/07/08,21266
189,True,76,2023/07/09,21264
190,True,138,2023/07/10,21278
191,True,301,2023/07/11,21279
